headlines,text,date,author,read_more,image_url,inshorts_url,original_source,day
Expelled Uttarakhand BJP minister Harak Singh Rawat joins Congress,"Expelled Uttarakhand minister Harak Singh Rawat on Friday joined the Congress party in Delhi in the presence of former CM Harish Rawat, ahead of the Assembly polls. Following his expulsion from BJP, Harak had said that he will join Congress and that the party will form the government in Uttarakhand. Harak had left Congress to join the BJP in 2016.",2022-01-21,Shreyasi Banerjee,https://www.aninews.in/news/national/politics/expelled-uttarakhand-bjp-minister-harak-singh-rawat-joins-congress20220121163647/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/01_jan/21_fri/img_1642764096914_894.jpg?,https://inshorts.com/en/news/expelled-uttarakhand-bjp-minister-harak-singh-rawat-joins-congress-1642765443170,ANI,Friday
Utpal Parrikar welcome to contest Goa polls on AAP ticket: Kejriwal,"Delhi CM Arvind Kejriwal on Thursday said Utpal Parrikar, who was denied a BJP ticket from Panaji, is welcome to contest Goa polls on an AAP ticket. ""Goans feel very sad that BJP has adopted use and throw policy even with the Parrikar family. I have always respected Manohar Parrikar Ji,"" he tweeted about Utpal's father and late Goa CM.",2022-01-20,Shalini Ojha,https://twitter.com/ArvindKejriwal/status/1484077930234134528?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/01_jan/20_thu/img_1642668470761_482.jpg?,https://inshorts.com/en/news/utpal-parrikar-welcome-to-contest-goa-polls-on-aap-ticket-kejriwal-1642669823780,Twitter,Thursday
"'There is an atmosphere of violence in India,' says Raj CM in PM's presence","In the presence of PM Narendra Modi during a virtual event, Rajasthan CM Ashok Gehlot on Thursday said that there's an atmosphere of tension and violence in the country. ""Peace and brotherhood are the need of the hour,"" Gehlot added at the launch of 'Azadi Ke Amrit Mahotsav se Swarnim Bharat Ke Ore' event. PM Modi flagged off year-long initiatives.",2022-01-20,Deepika Bhatt,https://theprint.in/india/in-pms-presence-gehlot-says-atmosphere-of-tension-violence-in-country/808474/?amp=&utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/01_jan/20_thu/img_1642687847384_830.jpg?,https://inshorts.com/en/news/there-is-an-atmosphere-of-violence-in-india-says-raj-cm-in-pms-presence-1642690656232,The Print,Thursday
AAP's Raghav Chadha sues Patiala man over defamatory remarks,"AAP MLA Raghav Chadha has sued a man from Patiala, Saurabh Jain, for allegedly making defamatory remarks about him on social media platforms. Jain allegedly called him a ""dalal"", ""baiman"" and ""goonda"". Metropolitan Magistrate Rishabh Kapoor took cognizance of Chadha's complaint and will examine witnesses on April 26. Chadha claimed Jain wanted to ""derail the positive work undertaken by"" AAP.",2022-01-21,Shalini Ojha,None,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/01_jan/21_fri/img_1642766512258_875.jpg?,https://inshorts.com/en/news/aaps-raghav-chadha-sues-patiala-man-over-defamatory-remarks-1642770869073,Inshorts,Friday
Can you see any other face?: Priyanka on being Congress' UP CM candidate,"Congress General Secretary Priyanka Gandhi Vadra on Friday suggested that she could be the party's CM candidate for the upcoming Uttar Pradesh elections. When asked if she is the CM face, she replied, ""Are you seeing any other face from the Congress? Dikh to raha hai na sab jagah mera chehra (You can see my face everywhere, can't you?).""",2022-01-21,Shalini Ojha,https://www.hindustantimes.com/elections/uttar-pradesh-assembly-election/dikh-toh-rahe-na-priyanka-gandhi-s-reply-to-are-you-the-cm-face-in-up-101642755104850-amp.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/01_jan/21_fri/img_1642757030373_804.jpg?,https://inshorts.com/en/news/can-you-see-any-other-face-priyanka-on-being-congress-up-cm-candidate-1642758661329,Hindustan Times,Friday
Made offer to Chidambaram for Goa polls' alliance: TMC's Pavan Varma,"TMC leader Pavan K Varma on Thursday said he had approached Congress leader P Chidambaram in December with a ""concrete offer"" for an alliance for Goa elections. ""I am dismayed, disappointed and also surprised at the manner in which Chidambaram...is attempting to mislead people,"" he said. Earlier, Chidambaram had said those wanting to support the anti-BJP front, should approach Congress.",2022-01-20,Shalini Ojha,https://www.thequint.com/amp/story/news/india/concrete-offer-made-to-congress-tmcs-pavan-varma-responds-to-alliance-remark?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/01_jan/20_thu/img_1642681830817_442.jpg?,https://inshorts.com/en/news/made-offer-to-chidambaram-for-goa-polls-alliance-tmcs-pavan-varma-1642683061126,TheQuint,Thursday
"Aparna Yadav seeks Mulayam's blessings after joining BJP, shares pic","Aparna Yadav, the daughter-in-law of Samajwadi Party patriarch Mulayam Singh Yadav who joined BJP earlier this week, met him on Friday and sought his blessings. She shared a picture where she was seen touching Mulayam's feet. Earlier, Mulayam Yadav's son and SP chief Akhilesh Yadav said his father tried to convince Aparna to not join BJP.",2022-01-21,Shalini Ojha,https://www.hindustantimes.com/elections/uttar-pradesh-assembly-election/up-polls-aparna-yadav-meets-mulayam-after-joining-bjp-takes-his-blessings-101642742887549-amp.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/01_jan/21_fri/img_1642762676390_687.jpg?,https://inshorts.com/en/news/aparna-yadav-seeks-mulayams-blessings-after-joining-bjp-shares-pic-1642765204160,Hindustan Times,Friday
"BJP councillor shoots moneylender in stomach 3 times, arrested","BJP councillor Umesh Kamble, who represents ward 14 of the Sankeshwar municipality in Belagavi district of Karnataka, was arrested on Thursday for allegedly killing a moneylender by shooting her in stomach three times on January 16. He had borrowed ₹25 lakh from the victim Shaila Niranjan Subhedar. She had threatened to expose him for not returning the money.",2022-01-20,Shalini Ojha,None,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/01_jan/20_thu/img_1642696192962_934.jpg?,https://inshorts.com/en/news/bjp-councillor-shoots-moneylender-in-stomach-3-times-arrested-1642698554734,Inshorts,Thursday
TMC visited Goa with a suitcase of money to buy leaders: Fadnavis,"BJP leader Devendra Fadnavis on Thursday said that Trinamool Congress came to Goa with a suitcase to put forward their expansion plan but Goa leaders are not up for sale here. ""TMC had formed an alliance in Goa in vain...Goa has rejected its aggressive politics already,'' Fadnavis added. TMC is contesting the Goa polls in alliance with MGP.",2022-01-21,Subhangi Singh,https://www.freepressjournal.in/amp/india/goa-assembly-polls-bjps-devendra-fadnavis-slams-trinamool-congress-says-party-visited-state-with-suitcase-of-money-to-buy-leaders?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/01_jan/21_fri/img_1642734089316_799.jpg?,https://inshorts.com/en/news/tmc-visited-goa-with-a-suitcase-of-money-to-buy-leaders-fadnavis-1642737748781,Free Press Journal,Friday
Chidambaram is misleading people against TMC: Abhishek Banerjee,"Trinamool Congress (TMC) MP Abhishek Banerjee has said that Congress' P Chidambaram is misleading people against TMC. ""Lies are being spread against [TMC]. Some...parties are alleging that TMC is splitting anti-BJP votes [in Goa]...Chidambaram is misguiding people,"" Banerjee said. If Chidambaram is unaware of TMC's offer of an alliance with Congress, he should speak to leadership, Banerjee added.",2022-01-20,Disha Jana,https://aninews.in/news/national/politics/goa-poll-p-chidambaram-spreading-misunderstanding-against-tmc-says-abhishek-banerjee20220120183429/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/01_jan/20_thu/img_1642696232819_242.jpg?,https://inshorts.com/en/news/chidambaram-is-misleading-people-against-tmc-abhishek-banerjee-1642699382233,ANI News,Thursday
Priyanka Maurya should thank Congress for her fame: Netta D'Souza,"All India Mahila Congress Acting President Netta D'Souza said that Priyanka Maurya should be grateful to Congress for her short-lived fame and that her exit will not impact the party's image. ""Those who do not identify with party's ideology are played in the hands of opposition,"" D'Souza added. Maurya was poster girl for Congress' 'Ladki Hoon, Lad Sakti Hoon' campaign.",2022-01-20,Ashley Paul,https://www.aninews.in/news/national/general-news/priyanka-maurya-should-be-grateful-to-congress-for-making-her-famous-netta-dsouza20220120182242/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/01_jan/20_thu/img_1642686968400_782.jpg?,https://inshorts.com/en/news/priyanka-maurya-should-thank-congress-for-her-fame-netta-dsouza-1642699120470,ANI,Thursday
BJP candidate list for U'khand out; CM Dhami to contest from Khatima,"BJP on Thursday announced candidates for 59 out of 70 seats for Uttarakhand polls. Chief Minister Pushkar Singh Dhami will contest from Khatima seat which he currently holds. The party has fielded its state in-charge Madan Kaushik from Haridwar, Savita Kapoor from Dehradun Cantt, Sarita Arya from Nainital, Ganesh Joshi from Mussoorie and Kailash Sharma from Almora.",2022-01-20,Saurabh Sinha,https://www.timesnownews.com/amp/india/article/uttarakhand-election-2022-bjp-releases-list-of-candidates-pushkar-singh-dhami-to-contest-from-khatima/851256?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/01_jan/20_thu/img_1642672799239_971.jpg?,https://inshorts.com/en/news/bjp-candidate-list-for-ukhand-out-cm-dhami-to-contest-from-khatima-1642677453274,timesnownews.com,Thursday
Lawyer in 2012 Nirbhaya gang-rape case joins BSP ahead of UP polls,"Seema Kushwaha, the lawyer in the 2012 Nirbhaya gang-rape case and the Hathras rape case, on Thursday, joined Bahujan Samaj Party in Lucknow ahead of Uttar Pradesh Assembly polls. The Supreme Court lawyer joined BSP in the presence of its national General Secretary Satish Chandra Misra. She had earlier announced that she'll join BSP to ensure justice to weaker section.",2022-01-20,Deepika Bhatt,https://twitter.com/ANINewsUP/status/1484093033482457089?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/01_jan/20_thu/img_1642683949775_909.jpg?,https://inshorts.com/en/news/lawyer-in-2012-nirbhaya-gangrape-case-joins-bsp-ahead-of-up-polls-1642685138595,Twitter,Thursday
"BJP leader, 300 others booked for poll code violation in UP's Pinahat","A BJP leader and former 'block pramukh' Sugreev Singh along with his up to 300 other unnamed supporters were booked on Thursday for allegedly violating the Model Code of Conduct and COVID-19 guidelines, the SHO of the police station in Uttar Pradesh's Pinahat said. The accused were apparently holding a meeting at the leader's milk plant, the police said.",2022-01-21,Medhaa Gupta,https://theprint.in/india/bjp-leader-300-supporters-booked-for-breaching-poll-code-covid-protocol-police/808855/?amp=&utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/01_jan/21_fri/img_1642761965739_85.jpg?,https://inshorts.com/en/news/bjp-leader-300-others-booked-for-poll-code-violation-in-ups-pinahat-1642764125446,ThePrint,Friday
Matter of great sadness: Rahul on reports of Amar Jawan Jyoti being put out,"Congress leader Rahul Gandhi on Friday reacted to reports that the Amar Jawan Jyoti at Delhi's India Gate will be extinguished and merged with the flame at National War Memorial, calling it a ""matter of great sadness"". ""Some people cannot understand patriotism and sacrifice,"" he said. He added that Amar Jawan Jyoti will be lit ""once again for our soldiers"".",2022-01-21,Medhaa Gupta,https://www.freepressjournal.in/amp/india/some-people-cannot-understand-patriotism-and-sacrifice-rahul-gandhi-on-putting-out-amar-jawan-jyoti-flame?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/01_jan/21_fri/img_1642741163303_289.jpg?,https://inshorts.com/en/news/matter-of-great-sadness-rahul-on-reports-of-amar-jawan-jyoti-being-put-out-1642744698725,Free Press Journal,Friday
Nail in coffin of federalism: Omar on proposed IAS cadre rule changes,"National Conference's Omar Abdullah has said that Centre's plan to gain powers of transferring IAS and IPS officers is ""nail in coffin"" of India's federalism. Abdullah was reacting to reports on government's plans to acquire overriding authority to transfer the officers through central deputation. ""How would CM Modi react if PM Modi summarily removed his DG or CS?"" Abdullah tweeted.",2022-01-20,Disha Jana,https://www.freepressjournal.in/amp/india/national-conference-leader-omar-abdullah-slams-centre-over-its-plan-to-appropriate-powers-of-transferring-ias-ips-officers?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/01_jan/20_thu/img_1642686067953_836.jpg?,https://inshorts.com/en/news/nail-in-coffin-of-federalism-omar-on-proposed-ias-cadre-rule-changes-1642692237982,Free Press Journal,Thursday
BJP ensured Mufti can't promote soft-separatism: Ex-J&K Dy CM,"Former Jammu and Kashmir Deputy CM Kavinder Gupta on Thursday criticised PDP chief Mehbooba Mufti, saying, ""BJP has ensured that Mehbooba and her ilk...don't continue with their anti-national agenda like swaying youth towards stone pelting"". Earlier, Mufti said that ""getting rid of [BJP] in Uttar Pradesh will be a greater azadi than 1947"". Gupta alleged that Mufti was promoting ""soft-separatism"".",2022-01-21,Medhaa Gupta,https://theprint.in/india/mehbooba-wont-be-allowed-to-sway-youths-towards-violence-bjp-leader/808869/?amp=&utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/01_jan/21_fri/img_1642746881568_446.jpg?,https://inshorts.com/en/news/bjp-ensured-mufti-cant-promote-softseparatism-exjk-dy-cm-1642750839513,ThePrint,Friday
AAP's Punjab CM face Bhagwant Mann to contest polls from Dhuri,"Bhagwant Mann, Aam Aadmi Party's (AAP) chief ministerial candidate from Punjab, will contest the upcoming assembly elections from the Dhuri constituency in Sangrur district, party leader Raghav Chadha said on Thursday. Mann, who heads AAP's Punjab unit, is a two-term and present MP from the Sangrur parliamentary constituency. The Dhuri Assembly seat is currently held by Congress MLA Dalvir Singh.",2022-01-20,Disha Jana,https://www.hindustantimes.com/elections/punjab-assembly-election/aaps-punjab-cm-face-bhagwant-mann-to-contest-from-dhuri-report-101642661618990-amp.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/01_jan/20_thu/img_1642673705637_245.jpg?,https://inshorts.com/en/news/aaps-punjab-cm-face-bhagwant-mann-to-contest-polls-from-dhuri-1642677953376,Hindustan Times,Thursday
Samajwadi Party is becoming 'Samapt Party': UP Deputy CM KP Maurya,"Uttar Pradesh Deputy Chief Minister and BJP leader Keshav Prasad Maurya said that the Samajwadi Party is becoming a ""Samapt Party"". He added that the BJP will win more than 300 seats in the polls and that he is delighted to contest from Sirathu (Kaushambi) constituency. Maurya also said that Congress favours corruption as they oppose action on corrupt people.",2022-01-20,Ashley Paul,https://www.hindustantimes.com/elections/uttar-pradesh-assembly-election/up-polls-samajwadi-party-is-becoming-samapt-party-says-deputy-cm-kp-maurya-101642673249970-amp.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts,https://static.inshorts.com/inshorts/images/v1/variants/jpg/m/2022/01_jan/20_thu/img_1642681959881_550.jpg?,https://inshorts.com/en/news/samajwadi-party-is-becoming-samapt-party-up-deputy-cm-kp-maurya-1642694573873,Hindustan Times,Thursday
